audio,audio_filepath,data_type,transcription
815993798_464290_464298_26635,/train/car-number/voices/815993798_464290_464298_26635.ogg,car,Əsəsən beş dəjiz sıfır-qırxsəşkis
1082554792_447853_447855_26875,/train/car-number/voices/1082554792_447853_447855_26875.ogg,car,қырық жебі үшіз-докұз
5591209497_454385_454393_26977,/train/car-number/voices/5591209497_454385_454393_26977.ogg,car,41FU359
1268975918_426452_426453_26625,/train/car-number/voices/1268975918_426452_426453_26625.ogg,car,58QG 873
671891258_474826_474833_27092,/train/car-number/voices/671891258_474826_474833_27092.ogg,car,51L-də 296
954206432_420931_420934_26647,/train/car-number/voices/954206432_420931_420934_26647.ogg,car,52 XG 681
1229817727_458179_458224_26508,/train/car-number/voices/1229817727_458179_458224_26508.ogg,car,40 ve de 335
1082554792_473493_473512_26745,/train/car-number/voices/1082554792_473493_473512_26745.ogg,car,"Долгой 2 УИКС, 66-6 курс"
575298922_418328_418329_26934,/train/car-number/voices/575298922_418328_418329_26934.ogg,car,51W121
341881303_441756_441759_27025,/train/car-number/voices/341881303_441756_441759_27025.ogg,car,54 WL 796
1150481435_414498_414499_26973,/train/car-number/voices/1150481435_414498_414499_26973.ogg,car,қырық алты жәбә етсүз етміш бір
1043664892_430395_430396_26361,/train/car-number/voices/1043664892_430395_430396_26361.ogg,car,34T-Y 378
1229817727_469070_469078_26686,/train/car-number/voices/1229817727_469070_469078_26686.ogg,car,Atmissi eða og hvíður hétti.
1009209372_475696_475729_26928,/train/car-number/voices/1009209372_475696_475729_26928.ogg,car,L604-001
892642911_423877_423878_26314,/train/car-number/voices/892642911_423877_423878_26314.ogg,car,"62, Q, P, 781"
860296669_468491_468500_26218,/train/car-number/voices/860296669_468491_468500_26218.ogg,car,"55, N, Y, 421."
1150481435_416514_416515_26957,/train/car-number/voices/1150481435_416514_416515_26957.ogg,car,Əl yeddi elvə beş yüz otuz yeddi
527731854_457569_457577_26188,/train/car-number/voices/527731854_457569_457577_26188.ogg,car,01HQ777
671891258_471054_471066_27040,/train/car-number/voices/671891258_471054_471066_27040.ogg,car,51TO314
976055738_450209_450225_27003,/train/car-number/voices/976055738_450209_450225_27003.ogg,car,58 xx5-11
671891258_422024_422031_26561,/train/car-number/voices/671891258_422024_422031_26561.ogg,car,Xeyyə 7503
954206432_420589_420600_26573,/train/car-number/voices/954206432_420589_420600_26573.ogg,car,25NK159
976055738_450064_450069_26444,/train/car-number/voices/976055738_450064_450069_26444.ogg,car,18-nc 731
2016758610_443890_443893_26856,/train/car-number/voices/2016758610_443890_443893_26856.ogg,car,етміш әмін үйүз құрқық ікі
860296669_430552_430553_27113,/train/car-number/voices/860296669_430552_430553_27113.ogg,car,13 FB 923
954206432_424444_424445_26838,/train/car-number/voices/954206432_424444_424445_26838.ogg,car,алтмыш докүз бэ з докүзүз доқсан беш
575298922_416926_416927_26632,/train/car-number/voices/575298922_416926_416927_26632.ogg,car,27-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i-i
2016758610_477075_477083_26421,/train/car-number/voices/2016758610_477075_477083_26421.ogg,car,әк құйық құйық
1043664892_429892_429894_26724,/train/car-number/voices/1043664892_429892_429894_26724.ogg,car,10EE791
1150481435_416264_416265_26868,/train/car-number/voices/1150481435_416264_416265_26868.ogg,car,Otuz dörd gecə dörd yüz doxsan səkiz
1878274529_428033_428034_26544,/train/car-number/voices/1878274529_428033_428034_26544.ogg,car,кіркүйетте сү жүйе алтыз етмішке
1150481435_416150_416151_27096,/train/car-number/voices/1150481435_416150_416151_27096.ogg,car,63 wz 512
1150481435_416104_416105_26655,/train/car-number/voices/1150481435_416104_416105_26655.ogg,car,37 l j 698
671891258_422622_422623_26730,/train/car-number/voices/671891258_422622_422623_26730.ogg,car,қыртүр сәдәбүлі сәкіз отыз седді
1013880018_471459_471467_26327,/train/car-number/voices/1013880018_471459_471467_26327.ogg,car,37 i e 099
1051072005_434591_434594_26803,/train/car-number/voices/1051072005_434591_434594_26803.ogg,car,алтмыш алты е гүлллі
1297961140_476651_476657_26449,/train/car-number/voices/1297961140_476651_476657_26449.ogg,car,Og ég þig egu allt hús kyrk sekis.
671891258_463830_463837_26692,/train/car-number/voices/671891258_463830_463837_26692.ogg,car,42 dn 721
671891258_476461_476473_26538,/train/car-number/voices/671891258_476461_476473_26538.ogg,car,46 xeyri 218
912272968_435023_435030_26980,/train/car-number/voices/912272968_435023_435030_26980.ogg,car,28 dv 403
919361428_427497_427498_26426,/train/car-number/voices/919361428_427497_427498_26426.ogg,car,15 нәрі 799
1229817727_455140_455145_26654,/train/car-number/voices/1229817727_455140_455145_26654.ogg,car,61-cu-u-səkiz
527731854_454552_454557_26184,/train/car-number/voices/527731854_454552_454557_26184.ogg,car,əli iki v y 0 99
539261624_465995_466008_26650,/train/car-number/voices/539261624_465995_466008_26650.ogg,car,ƏLLİ DÖRD QW sıfır doxsan altı
1082554792_450805_450810_27075,/train/car-number/voices/1082554792_450805_450810_27075.ogg,car,қырк ги нолы тұзбирь
815993798_474729_474743_26589,/train/car-number/voices/815993798_474729_474743_26589.ogg,car,03 Fs 249
1150481435_413988_413989_26368,/train/car-number/voices/1150481435_413988_413989_26368.ogg,car,03YD 151
1878274529_460653_460666_26899,/train/car-number/voices/1878274529_460653_460666_26899.ogg,car,64-y-y-564
892642911_456337_456347_27107,/train/car-number/voices/892642911_456337_456347_27107.ogg,car,Ən Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Əl Ə
1013880018_473638_473658_26994,/train/car-number/voices/1013880018_473638_473658_26994.ogg,car,"Əllü üç, Mıfı üç yüz yirmi iki"
5196964268_443164_443167_26638,/train/car-number/voices/5196964268_443164_443167_26638.ogg,car,17 b s 609
954206432_420227_420230_26438,/train/car-number/voices/954206432_420227_420230_26438.ogg,car,"Jedmiški, ryka, dokuzi jedmiški."
1201653758_462225_462242_26680,/train/car-number/voices/1201653758_462225_462242_26680.ogg,car,құрк бік зәд о құрк үйліп құрк
575298922_446047_446058_26289,/train/car-number/voices/575298922_446047_446058_26289.ogg,car,28HQ 933
1128232293_449212_449229_26329,/train/car-number/voices/1128232293_449212_449229_26329.ogg,car,28HK 121
1013880018_442608_442609_27066,/train/car-number/voices/1013880018_442608_442609_27066.ogg,car,"Otúð dóðgur, ZS, üçhús dóðgur."
575298922_418342_418343_26356,/train/car-number/voices/575298922_418342_418343_26356.ogg,car,Yirin bir es yə üç yüz otuz yətti
2016758610_469081_469086_26180,/train/car-number/voices/2016758610_469081_469086_26180.ogg,car,42 k d 341
539261624_460417_460424_26277,/train/car-number/voices/539261624_460417_460424_26277.ogg,car,ермекек ғүмі ноль күркұлқалты
815993798_455557_455562_26302,/train/car-number/voices/815993798_455557_455562_26302.ogg,car,48 KE 555
5028632961_421560_421561_26800,/train/car-number/voices/5028632961_421560_421561_26800.ogg,car,ƏLLALT-ı AZ 263
539261624_454281_454292_27071,/train/car-number/voices/539261624_454281_454292_27071.ogg,car,61 S.O. 69
919361428_427233_427234_26338,/train/car-number/voices/919361428_427233_427234_26338.ogg,car,қыркүкдіңдері 748
892642911_453585_453597_26601,/train/car-number/voices/892642911_453585_453597_26601.ogg,car,24FD-211
575298922_418270_418271_26809,/train/car-number/voices/575298922_418270_418271_26809.ogg,car,34ZD538
1150481435_415911_415912_26565,/train/car-number/voices/1150481435_415911_415912_26565.ogg,car,39 tf 368
671891258_479279_479288_26413,/train/car-number/voices/671891258_479279_479288_26413.ogg,car,31 рейли 654
1009209372_462672_462677_26746,/train/car-number/voices/1009209372_462672_462677_26746.ogg,car,2800 peynir 543
1201653758_479769_479777_26533,/train/car-number/voices/1201653758_479769_479777_26533.ogg,car,отырс бір ар и алтығыз алтымүш бір
910545275_415401_415402_26833,/train/car-number/voices/910545275_415401_415402_26833.ogg,car,24 pırı 621
1269496718_435599_435606_27139,/train/car-number/voices/1269496718_435599_435606_27139.ogg,car,14 tığı 783
1229817727_468771_468780_26821,/train/car-number/voices/1229817727_468771_468780_26821.ogg,car,атмүш үйт қижі пеш үсті етмүш үйт
815993798_463551_463557_26837,/train/car-number/voices/815993798_463551_463557_26837.ogg,car,10.003
1051072005_444404_444405_26886,/train/car-number/voices/1051072005_444404_444405_26886.ogg,car,58mm 101
976055738_445840_445848_26883,/train/car-number/voices/976055738_445840_445848_26883.ogg,car,қыркүйбір иғі алтығыз әштат алты
912272968_433911_433916_26407,/train/car-number/voices/912272968_433911_433916_26407.ogg,car,онбер зә тә тоқкузүз доқсан етті
815993798_469677_469683_26366,/train/car-number/voices/815993798_469677_469683_26366.ogg,car,32DIS-1055
619589413_439420_439425_26452,/train/car-number/voices/619589413_439420_439425_26452.ogg,car,55 xıya 931
1297961140_470379_470386_26634,/train/car-number/voices/1297961140_470379_470386_26634.ogg,car,Onları 563.
619589413_440870_440871_26494,/train/car-number/voices/619589413_440870_440871_26494.ogg,car,64WU233
5028632961_418769_418770_26938,/train/car-number/voices/5028632961_418769_418770_26938.ogg,car,35 CV 683
860296669_465850_465899_26205,/train/car-number/voices/860296669_465850_465899_26205.ogg,car,72 YL 084
2016758610_474224_474242_26278,/train/car-number/voices/2016758610_474224_474242_26278.ogg,car,алтымыш беш ері алтың жүз етmiş бір
1347919237_442639_442644_26840,/train/car-number/voices/1347919237_442639_442644_26840.ogg,car,қырқықы қы ә ә әліп құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық құрық қ
860296669_452045_452054_26633,/train/car-number/voices/860296669_452045_452054_26633.ogg,car,"90, Y, C, 781"
1268975918_426677_426678_26284,/train/car-number/voices/1268975918_426677_426678_26284.ogg,car,"47, В, М, 312."
341881303_441431_441436_26194,/train/car-number/voices/341881303_441431_441436_26194.ogg,car,әлі бір хәрсет дүкүз кіркүркүл алты
426881765_455450_455467_27105,/train/car-number/voices/426881765_455450_455467_27105.ogg,car,"Beş, doqquz, de, i, üç, sıfır, sekiz"
1128232293_458309_458316_26781,/train/car-number/voices/1128232293_458309_458316_26781.ogg,car,"Saffarsakir Gó, tjúðalli verið."
1150481435_413599_413600_26469,/train/car-number/voices/1150481435_413599_413600_26469.ogg,car,08 DM 819
1268975918_426210_426211_26304,/train/car-number/voices/1268975918_426210_426211_26304.ogg,car,"52, B, R, 361."
892642911_453311_453322_26626,/train/car-number/voices/892642911_453311_453322_26626.ogg,car,08-I-Z-336
1269496718_433860_433875_26668,/train/car-number/voices/1269496718_433860_433875_26668.ogg,car,57CW713
892642911_470921_470931_26295,/train/car-number/voices/892642911_470921_470931_26295.ogg,car,70KW874
1201653758_461416_461420_26450,/train/car-number/voices/1201653758_461416_461420_26450.ogg,car,18DD823
2016758610_475749_475763_26358,/train/car-number/voices/2016758610_475749_475763_26358.ogg,car,қырқық алты ліпі икиүз доқсан үш
5196964268_423049_423050_26774,/train/car-number/voices/5196964268_423049_423050_26774.ogg,car,алты сұфыр ә қы еді бір алты
5196964268_424684_424685_26645,/train/car-number/voices/5196964268_424684_424685_26645.ogg,car,S.C.913
1229817727_468593_468604_26553,/train/car-number/voices/1229817727_468593_468604_26553.ogg,car,"Atmúðisdörð fk, júzónus."
954206432_417583_417584_26299,/train/car-number/voices/954206432_417583_417584_26299.ogg,car,"25, K və 159."
1128232293_464935_464946_26843,/train/car-number/voices/1128232293_464935_464946_26843.ogg,car,05BZ 736
