audio,transcript,transcription
1150481435_413579_413580_25314,1671726558297919,1671726558297919
1150481435_413589_413590_25232,1233482219165815,1233482219165815
1150481435_413655_413656_25384,1459998773472568,1459998773472568
1150481435_413659_413660_25161,8634735591936473,8634735591936473
1150481435_413768_413769_25493,1435789229821271,1435789229821271
1150481435_413826_413827_25519,4925635493974829,4925635493974829
1150481435_413886_413889_25607,8691855619298829,8691855619298829
1150481435_413978_413979_25210,1474988178549586,1474988178549586
910545275_414150_414153_26106,8996571574416229,8996571574416229
1150481435_414448_414449_25364,4684518224222199,4684518224222199
1150481435_414490_414491_25686,9778481965769798,9778481965769798
910545275_414732_414737_25682,1415681845651779,1415681845651779
910545275_414846_414847_25780,6754318944898943,6754318944898943
910545275_415071_415072_25989,5815157329285137,5815157329285137
910545275_415087_415088_25926,7877412494788999,7877412494788999
910545275_415153_415158_25735,4317559369771155,4317559369771155
910545275_415223_415224_25928,8255267464188164,8255267464188164
910545275_415239_415240_25358,3652278618347167,3652278618347167
910545275_415303_415304_25960,1391392254129248,1391392254129248
910545275_415423_415424_25154,9747725352771281,9747725352771281
910545275_415491_415492_25905,2955699685981847,2955699685981847
910545275_415525_415526_25862,2752274887999347,2752274887999347
910545275_415603_415604_26078,2694892168334398,2694892168334398
910545275_415683_415684_25322,7626516779856357,7626516779856357
910545275_415697_415698_25216,5644398887965952,5644398887965952
910545275_415805_415806_25827,5821974692194142,5821974692194142
910545275_415837_415838_25745,5794614751598861,5794614751598861
1150481435_415887_415888_25818,9899439528498343,9899439528498343
1150481435_415907_415908_25511,6923113276149819,6923113276149819
1150481435_416010_416011_25803,2871937475857713,2871937475857713
1150481435_416028_416029_25987,2791399784887953,2791399784887953
1150481435_416082_416083_25664,5571653894533282,5571653894533282
1150481435_416130_416131_26145,9776146514362958,9776146514362958
1150481435_416166_416167_25447,8431693127147412,8431693127147412
1150481435_416232_416233_26084,8625989631579259,8625989631579259
1150481435_416236_416237_26018,3978488882176859,3978488882176859
1150481435_416442_416443_25852,9966974543728891,9966974543728891
1150481435_416462_416463_26007,3261477132299827,3261477132299827
1150481435_416554_416555_25655,3586781885617711,3586781885617711
1150481435_416590_416591_25245,9298282629571545,9298282629571545
1150481435_416600_416601_25657,6585164322848441,6585164322848441
1150481435_416658_416659_25179,5577226191194642,5577226191194642
1150481435_416693_416694_25416,9343267946843397,9343267946843397
1150481435_416697_416698_25935,8592869254981164,8592869254981164
575298922_417380_417381_25761,4214237934787795,4214237934787795
575298922_417394_417395_25965,7239143644874459,7239143644874459
575298922_417417_417418_26051,7128235624938651,7128235624938651
575298922_417425_417426_25743,2257518585581332,2257518585581332
575298922_417427_417428_25782,7266328995154485,7266328995154485
954206432_417663_417669_25724,7479679533269938,7479679533269938
5440156582_417704_417705_25821,8129598826259249,8129598826259249
5440156582_417706_417707_25501,7866943413384514,7866943413384514
5440156582_417744_417745_25838,1921444957413518,1921444957413518
860296669_417902_417903_25310,3392315849384161,3392315849384161
892642911_418013_418014_26040,3587546992129879,3587546992129879
860296669_418029_418041_26085,8421642494777286,8421642494777286
892642911_418055_418056_25446,5369972112436523,5369972112436523
860296669_418180_418181_25728,9678567742582349,9678567742582349
575298922_418320_418321_25312,5928988331442475,5928988331442475
575298922_418525_418526_25992,1886239141518835,1886239141518835
575298922_418557_418558_25972,3491284888619119,3491284888619119
575298922_418635_418636_25186,8597976946933359,8597976946933359
5028632961_418726_418727_25248,4632257359724872,4632257359724872
5028632961_418761_418762_25861,7656727589652383,7656727589652383
5028632961_418879_418880_25155,4776315758211174,4776315758211174
5028632961_418945_418946_25231,2373629524548643,2373629524548643
5028632961_419135_419136_25463,4798757347947645,4798757347947645
5028632961_419159_419160_25408,1626813293368731,1626813293368731
5028632961_419199_419200_25932,9195337292831259,9195337292831259
5028632961_419219_419220_26125,5122577198475924,5122577198475924
5028632961_419267_419268_25239,7918153629713131,7918153629713131
5028632961_419339_419340_26005,7192264472173844,7192264472173844
5028632961_419369_419370_25158,6923526976484892,6923526976484892
5028632961_419463_419464_25199,6293561842226932,6293561842226932
5028632961_419493_419494_25679,9389688244118387,9389688244118387
5028632961_419786_419787_25695,2437395154775644,2437395154775644
5028632961_419914_419919_25238,5216372791141641,5216372791141641
705098248_420008_420009_25668,1953914585446785,1953914585446785
705098248_420050_420055_25475,6726231319359743,6726231319359743
705098248_420152_420154_25881,9517325542344219,9517325542344219
5028632961_420170_420181_26008,8842596672856582,8842596672856582
5028632961_420208_420220_25750,8269628457464326,8269628457464326
705098248_420233_420240_25219,8377591734531735,8377591734531735
705098248_420241_420250_25402,2679595952844199,2679595952844199
954206432_420775_420785_25740,8467512151321166,8467512151321166
705098248_420789_420790_25747,7276638969794134,7276638969794134
954206432_420797_420802_25634,4967429556972546,4967429556972546
954206432_421377_421383_25835,9128169685164758,9128169685164758
5028632961_421432_421433_25505,1481256669696657,1481256669696657
5028632961_421476_421477_25701,8671921878343199,8671921878343199
5028632961_421540_421541_25464,7422757728632319,7422757728632319
5028632961_421556_421557_25944,8653484678846533,8653484678846533
426881765_421582_421583_25726,2152521332553677,2152521332553677
426881765_421584_421587_25815,3772457969549283,3772457969549283
954206432_421691_421696_26100,3641982137321686,3641982137321686
314849420_421961_421965_25691,8454555232712253,8454555232712253
314849420_422111_422114_25221,2248736922684447,2248736922684447
671891258_422172_422177_25951,6479348236445152,6479348236445152
671891258_422218_422219_25714,7297343147121342,7297343147121342
671891258_422307_422310_25866,7477325864257596,7477325864257596
671891258_422415_422420_25739,4616253472947449,4616253472947449
426881765_422545_422546_25529,6279317577542742,6279317577542742
671891258_422740_422747_25250,2242778462723685,2242778462723685
671891258_422804_422805_25393,5972957438815179,5972957438815179
5196964268_422865_422871_25470,3853594894149642,3853594894149642
5196964268_422883_422884_25868,5622754262117237,5622754262117237
5196964268_422937_422938_25469,8858727182728414,8858727182728414
5196964268_423077_423078_25453,8763823515739565,8763823515739565
5196964268_423089_423090_25624,8482271262264855,8482271262264855
5196964268_423105_423106_25954,6636323718846592,6636323718846592
5196964268_423113_423114_26041,3331365187992217,3331365187992217
5196964268_423242_423243_25636,4822867147534578,4822867147534578
5196964268_423354_423355_25738,8981532147984581,8981532147984581
5196964268_423508_423509_25515,1788854149532235,1788854149532235
5196964268_423552_423553_25368,3491374651161784,3491374651161784
892642911_423683_423684_25432,4962436143986775,4962436143986775
892642911_423835_423836_25178,8528317278767777,8528317278767777
892642911_423869_423870_26076,3596935929627419,3596935929627419
892642911_423965_423968_25507,4655939974641195,465593997464195
892642911_424057_424058_25344,2487793618351848,2487793618351848
892642911_424179_424180_25876,2812941649939238,2812941649939238
954206432_424301_424302_25949,7622394871866188,7622394871866188
5196964268_424516_424517_26150,5621668927181898,5621668927181898
5196964268_424538_424539_26142,8877357454522242,8877357454522242
5196964268_424658_424659_26003,1231119285287618,1231119285287618
5196964268_424688_424689_25571,2346815238821728,2346815238821728
5440156582_424785_424786_25503,2684587576567788,2684587576567788
5440156582_424795_424796_25335,1367521141272683,1367521141272683
5440156582_424797_424798_25649,9265633126354295,9265633126354295
5440156582_424799_424800_25816,5182727947758782,5182727947758782
1268975918_425300_425301_25373,3197426762539574,3197426762539574
1268975918_425442_425443_25422,1161376139276975,1161376139276975
1268975918_425477_425478_25546,5968564839538832,5968564839538832
1268975918_425538_425539_25172,7129993891749478,7129993891749478
1268975918_426023_426024_25856,7792434383921949,7792434383921949
1268975918_426025_426026_25644,6188183533513378,6188183533513378
1268975918_426240_426241_26091,4134759846546715,4134759846546715
1268975918_426298_426299_26047,6843867244987869,6843867244987869
1268975918_426406_426407_26044,1623262281363789,1623262281363789
1268975918_426500_426501_26035,4582331759249198,4582331759249198
1878274529_426875_426876_26149,7768961871388633,7768961871388633
1878274529_426929_426930_25975,1714932588299314,1714932588299314
919361428_427009_427010_25800,1168389863571756,1168389863571756
919361428_427015_427016_25165,7786493786839197,7786493786839197
919361428_427087_427088_25576,4287655973892943,4287655973892943
919361428_427091_427092_26073,2995379537743314,2995379537743314
919361428_427105_427106_25700,3173797842429194,3173797842429194
919361428_427131_427132_25878,1341983788193731,1341983788193731
919361428_427197_427198_25836,3629392824293871,3629392824293871
919361428_427253_427254_25438,4816951529883779,4816951529883779
919361428_427255_427256_25659,2379211786143113,2379211786143113
919361428_427359_427360_25766,7447585224318159,7447585224318159
919361428_427385_427386_25246,6139876762597544,6139876762597544
919361428_427653_427654_25398,8214458874858741,8214458874858741
919361428_427889_427890_25661,7629876818161118,7629876818161118
1878274529_427999_428000_25925,6236744986166829,6236744986166829
1009209372_428301_428302_25414,7913758392841925,7913758392841925
1009209372_428364_428365_26059,1121792867847983,1121792867847983
1043664892_428499_428500_25670,1768599364588945,1768599364588945
1043664892_428531_428532_25574,5268441966141857,5268441966141857
1043664892_428557_428558_25656,3671529227884588,3671529227884588
1043664892_428731_428732_25347,1251752625423973,1251752625423973
1043664892_428963_428964_25566,2539537459767791,2539537459767791
1043664892_429005_429006_25520,3289976927461565,3289976927461565
1043664892_429143_429144_25626,4624774647279654,4624774647279654
919361428_429268_429274_25952,2814275486249236,2814275486249236
1043664892_429400_429403_25213,4176849758399358,4176849758399358
1043664892_429458_429461_25615,3811821389523596,3811821389523596
1043664892_429542_429545_25717,5879392974783452,5879392974783452
1043664892_429670_429673_25552,5499946234148746,5499946234148746
919361428_429718_429721_25354,3494142378774916,3494142378774916
1043664892_429751_429755_25872,9126311769154565,9126311769154565
1043664892_429760_429761_25163,8688578351488217,8688578351488217
